"name","up.votes","date","n.comments","date.w","comments.share.w","votes.share.w","max.daily.comment.share","max.daily.votes.share"
"Cups",19,2014-04-14,5,2014-04-13,0.0093984962406015,0.00833333333333333,0.037593984962406,0.0456140350877193
"Kid & Coe",18,2014-04-14,20,2014-04-13,0.037593984962406,0.00789473684210526,0.037593984962406,0.0456140350877193
"BitBalloon",18,2014-04-14,5,2014-04-13,0.0093984962406015,0.00789473684210526,0.037593984962406,0.0456140350877193
"Ethereum",14,2014-04-14,2,2014-04-13,0.0037593984962406,0.00614035087719298,0.037593984962406,0.0456140350877193
"Riyarchy",14,2014-04-14,1,2014-04-13,0.0018796992481203,0.00614035087719298,0.037593984962406,0.0456140350877193
"GIFGIF",12,2014-04-14,5,2014-04-13,0.0093984962406015,0.00526315789473684,0.037593984962406,0.0456140350877193
"Hackpad",10,2014-04-14,2,2014-04-13,0.0037593984962406,0.0043859649122807,0.037593984962406,0.0456140350877193
"PushPickup",10,2014-04-14,5,2014-04-13,0.0093984962406015,0.0043859649122807,0.037593984962406,0.0456140350877193
"Kula Tech",10,2014-04-14,0,2014-04-13,0,0.0043859649122807,0.037593984962406,0.0456140350877193
"Invisible Cow ",9,2014-04-14,2,2014-04-13,0.0037593984962406,0.00394736842105263,0.037593984962406,0.0456140350877193
"Stormpath",7,2014-04-14,1,2014-04-13,0.0018796992481203,0.00307017543859649,0.037593984962406,0.0456140350877193
"Doge Weather",6,2014-04-14,3,2014-04-13,0.0056390977443609,0.00263157894736842,0.037593984962406,0.0456140350877193
"ShotTracker",4,2014-04-14,3,2014-04-13,0.0056390977443609,0.00175438596491228,0.037593984962406,0.0456140350877193
"Convies",4,2014-04-14,1,2014-04-13,0.0018796992481203,0.00175438596491228,0.037593984962406,0.0456140350877193
"Day Flow",4,2014-04-14,2,2014-04-13,0.0037593984962406,0.00175438596491228,0.037593984962406,0.0456140350877193
"Entrain",3,2014-04-14,1,2014-04-13,0.0018796992481203,0.00131578947368421,0.037593984962406,0.0456140350877193
"Triptease",3,2014-04-14,3,2014-04-13,0.0056390977443609,0.00131578947368421,0.037593984962406,0.0456140350877193
"Curious",2,2014-04-14,1,2014-04-13,0.0018796992481203,0.00087719298245614,0.037593984962406,0.0456140350877193
"Flaticon",59,2014-04-13,7,2014-04-13,0.0131578947368421,0.0258771929824561,0.0131578947368421,0.0258771929824561
"Family Guy Game",12,2014-04-13,2,2014-04-13,0.0037593984962406,0.00526315789473684,0.0131578947368421,0.0258771929824561
"CodeBunk",8,2014-04-13,4,2014-04-13,0.0075187969924812,0.00350877192982456,0.0131578947368421,0.0258771929824561
"Remee",21,2014-04-12,5,2014-04-06,0.0125,0.01066531234129,0.0125,0.01066531234129
"Think Like a Freak",16,2014-04-12,3,2014-04-06,0.0075,0.00812595226003047,0.0125,0.01066531234129
"Nifty Minidrive",15,2014-04-12,3,2014-04-06,0.0075,0.00761808024377857,0.0125,0.01066531234129
"shuffler.fm",12,2014-04-12,2,2014-04-06,0.005,0.00609446419502285,0.0125,0.01066531234129
"Moniker",9,2014-04-12,1,2014-04-06,0.0025,0.00457084814626714,0.0125,0.01066531234129
"PRBC - Credit Rating",3,2014-04-12,2,2014-04-06,0.005,0.00152361604875571,0.0125,0.01066531234129
"Geckoboard",49,2014-04-11,5,2014-04-06,0.0125,0.0248857287963433,0.035,0.0248857287963433
"Refresh 1.6",43,2014-04-11,9,2014-04-06,0.0225,0.0218384966988319,0.035,0.0248857287963433
"Taptalk",32,2014-04-11,14,2014-04-06,0.035,0.0162519045200609,0.035,0.0248857287963433
"Trance",27,2014-04-11,8,2014-04-06,0.02,0.0137125444388014,0.035,0.0248857287963433
"Morning ",23,2014-04-11,0,2014-04-06,0,0.0116810563737938,0.035,0.0248857287963433
"Reeder 2 For Mac",21,2014-04-11,3,2014-04-06,0.0075,0.01066531234129,0.035,0.0248857287963433
"Startup Series eBook",18,2014-04-11,6,2014-04-06,0.015,0.00914169629253428,0.035,0.0248857287963433
"Domain Tower",18,2014-04-11,2,2014-04-06,0.005,0.00914169629253428,0.035,0.0248857287963433
"Poetica",15,2014-04-11,5,2014-04-06,0.0125,0.00761808024377857,0.035,0.0248857287963433
"Planner 5D",14,2014-04-11,3,2014-04-06,0.0075,0.00711020822752666,0.035,0.0248857287963433
"The Boyfriend Log",9,2014-04-11,4,2014-04-06,0.01,0.00457084814626714,0.035,0.0248857287963433
"DataFox",6,2014-04-11,4,2014-04-06,0.01,0.00304723209751143,0.035,0.0248857287963433
"CO Everywhere",4,2014-04-11,0,2014-04-06,0,0.00203148806500762,0.035,0.0248857287963433
"This Is My Jam",3,2014-04-11,2,2014-04-06,0.005,0.00152361604875571,0.035,0.0248857287963433
"Retained",3,2014-04-11,0,2014-04-06,0,0.00152361604875571,0.035,0.0248857287963433
"JobKaster",3,2014-04-11,0,2014-04-06,0,0.00152361604875571,0.035,0.0248857287963433
"deviantART muro",2,2014-04-11,2,2014-04-06,0.005,0.00101574403250381,0.035,0.0248857287963433
"Startup Back Office",2,2014-04-11,4,2014-04-06,0.01,0.00101574403250381,0.035,0.0248857287963433
"Developer Agents",50,2014-04-10,9,2014-04-06,0.0225,0.0253936008125952,0.0225,0.0253936008125952
"Mental Notes",41,2014-04-10,5,2014-04-06,0.0125,0.0208227526663281,0.0225,0.0253936008125952
"Buffer for iOS7 ",31,2014-04-10,9,2014-04-06,0.0225,0.015744032503809,0.0225,0.0253936008125952
"Crew",23,2014-04-10,5,2014-04-06,0.0125,0.0116810563737938,0.0225,0.0253936008125952
"Responsive Type",13,2014-04-10,2,2014-04-06,0.005,0.00660233621127476,0.0225,0.0253936008125952
"Uformit",10,2014-04-10,1,2014-04-06,0.0025,0.00507872016251905,0.0225,0.0253936008125952
"Ionic Framework",8,2014-04-10,0,2014-04-06,0,0.00406297613001524,0.0225,0.0253936008125952
"AgFunder",8,2014-04-10,0,2014-04-06,0,0.00406297613001524,0.0225,0.0253936008125952
"Webengage",8,2014-04-10,2,2014-04-06,0.005,0.00406297613001524,0.0225,0.0253936008125952
"TruckPlease",6,2014-04-10,0,2014-04-06,0,0.00304723209751143,0.0225,0.0253936008125952
"Mini Mobile Printer",6,2014-04-10,1,2014-04-06,0.0025,0.00304723209751143,0.0225,0.0253936008125952
"PackPoint",6,2014-04-10,1,2014-04-06,0.0025,0.00304723209751143,0.0225,0.0253936008125952
"BeepManager",5,2014-04-10,0,2014-04-06,0,0.00253936008125952,0.0225,0.0253936008125952
"Design for the Web",4,2014-04-10,3,2014-04-06,0.0075,0.00203148806500762,0.0225,0.0253936008125952
"Buildbox",3,2014-04-10,0,2014-04-06,0,0.00152361604875571,0.0225,0.0253936008125952
"Vinyl Me, Please",75,2014-04-09,15,2014-04-06,0.0375,0.0380904012188928,0.0375,0.0380904012188928
"narwhal for reddit",39,2014-04-09,13,2014-04-06,0.0325,0.0198070086338243,0.0375,0.0380904012188928
"Pathwright",34,2014-04-09,15,2014-04-06,0.0375,0.0172676485525648,0.0375,0.0380904012188928
"Carousel",32,2014-04-09,14,2014-04-06,0.035,0.0162519045200609,0.0375,0.0380904012188928
"PayStand",28,2014-04-09,2,2014-04-06,0.005,0.0142204164550533,0.0375,0.0380904012188928
"Azendoo",25,2014-04-09,1,2014-04-06,0.0025,0.0126968004062976,0.0375,0.0380904012188928
"Muut",20,2014-04-09,4,2014-04-06,0.01,0.0101574403250381,0.0375,0.0380904012188928
"ecoVent",14,2014-04-09,1,2014-04-06,0.0025,0.00711020822752666,0.0375,0.0380904012188928
"JobFoundry",11,2014-04-09,4,2014-04-06,0.01,0.00558659217877095,0.0375,0.0380904012188928
"Into the Static",11,2014-04-09,5,2014-04-06,0.0125,0.00558659217877095,0.0375,0.0380904012188928
"BuzzStream",8,2014-04-09,4,2014-04-06,0.01,0.00406297613001524,0.0375,0.0380904012188928
"Heartbleed Test",7,2014-04-09,0,2014-04-06,0,0.00355510411376333,0.0375,0.0380904012188928
"Meanpath",6,2014-04-09,0,2014-04-06,0,0.00304723209751143,0.0375,0.0380904012188928
"Storium",6,2014-04-09,1,2014-04-06,0.0025,0.00304723209751143,0.0375,0.0380904012188928
"Vaurum",5,2014-04-09,0,2014-04-06,0,0.00253936008125952,0.0375,0.0380904012188928
"Mingleton",4,2014-04-09,1,2014-04-06,0.0025,0.00203148806500762,0.0375,0.0380904012188928
"Vigo",2,2014-04-09,0,2014-04-06,0,0.00101574403250381,0.0375,0.0380904012188928
"Makin Sense Babe",2,2014-04-09,1,2014-04-06,0.0025,0.00101574403250381,0.0375,0.0380904012188928
"Responsive Email",78,2014-04-08,3,2014-04-06,0.0075,0.0396140172676486,0.04,0.0396140172676486
"SendinBlue",61,2014-04-08,6,2014-04-06,0.015,0.0309801929913662,0.04,0.0396140172676486
"Sketchfab",57,2014-04-08,7,2014-04-06,0.0175,0.0289487049263586,0.04,0.0396140172676486
"Without Permission",56,2014-04-08,16,2014-04-06,0.04,0.0284408329101067,0.04,0.0396140172676486
"Mailcloud",45,2014-04-08,13,2014-04-06,0.0325,0.0228542407313357,0.04,0.0396140172676486
"Twitter Profile",28,2014-04-08,12,2014-04-06,0.03,0.0142204164550533,0.04,0.0396140172676486
"TransferWise",28,2014-04-08,4,2014-04-06,0.01,0.0142204164550533,0.04,0.0396140172676486
"Micro",19,2014-04-08,4,2014-04-06,0.01,0.00964956830878619,0.04,0.0396140172676486
"Snappy Checkout",16,2014-04-08,2,2014-04-06,0.005,0.00812595226003047,0.04,0.0396140172676486
"NeonMob",16,2014-04-08,6,2014-04-06,0.015,0.00812595226003047,0.04,0.0396140172676486
"Barks and Rec",15,2014-04-08,6,2014-04-06,0.015,0.00761808024377857,0.04,0.0396140172676486
"Stand Desk",14,2014-04-08,2,2014-04-06,0.005,0.00711020822752666,0.04,0.0396140172676486
"Etch",13,2014-04-08,2,2014-04-06,0.005,0.00660233621127476,0.04,0.0396140172676486
"Page Snooze",13,2014-04-08,2,2014-04-06,0.005,0.00660233621127476,0.04,0.0396140172676486
"Bullet Journal",12,2014-04-08,1,2014-04-06,0.0025,0.00609446419502285,0.04,0.0396140172676486
"Tellmebye",9,2014-04-08,1,2014-04-06,0.0025,0.00457084814626714,0.04,0.0396140172676486
